dir,/home/junkado/Desktop/keio/20180325/3ddata/pitcher/hioki/,type,straight,files number,10,optimal reference,2-1_008.csv,
0.000000000000000000e+00,1.460843000853573983e+02,1.296238026431411186e+02,1.676479437488474957e+02,1.563326863630001640e+02,1.198400710029634837e+02,1.099998545796555902e+02,1.138771372173555676e+02,1.482614181171470875e+02,1.514217070469196358e+02
2.460651152412131921e+02,0.000000000000000000e+00,1.357280193254379981e+02,1.694464224427167380e+02,1.573285340823624381e+02,1.656884694664437632e+02,2.067556528872171668e+02,2.106508210030878274e+02,1.977953852512266621e+02,1.848168220986813708e+02
1.861892137696000589e+02,4.022312775096030180e+01,0.000000000000000000e+00,9.041185162517854224e+01,5.788077533625931892e+01,4.644672517157138714e+01,1.564700110450827992e+02,1.461508144068239403e+02,1.229392669162714071e+02,1.090228072395827894e+02
2.183189712328359064e+02,7.051868150750155451e+01,8.918765034124000124e+01,0.000000000000000000e+00,5.881897290892415242e+01,1.000182038876658481e+02,1.384621580334163582e+02,1.487640900047043431e+02,1.409255798333571477e+02,8.448368909672947780e+01
2.405525274846819741e+02,4.805869799587360802e+01,5.717385435866288645e+01,6.373135775532444569e+01,0.000000000000000000e+00,6.233578530682889607e+01,1.875360144005099130e+02,1.778080718716778108e+02,1.618019118619907601e+02,1.024434457102644700e+02
2.741967131021991690e+02,7.036254836825416703e+01,6.572725436722748782e+01,1.253767523264823893e+02,7.612818462319987134e+01,0.000000000000000000e+00,2.464889454998426856e+02,2.318221240789144986e+02,2.225434935263421323e+02,1.435764248661648139e+02
1.317807351753550904e+02,1.673791662647063845e+02,1.686332021833762553e+02,1.518113948602728271e+02,1.646648013468547447e+02,1.658208200331324349e+02,0.000000000000000000e+00,1.180084381907597333e+02,1.759960457607950275e+02,1.738955845726142115e+02
1.816365994513674593e+02,2.347329210271789464e+02,2.115483635056484388e+02,2.566632430242702299e+02,2.288089584297740657e+02,1.995070073817184095e+02,1.624169530339149787e+02,0.000000000000000000e+00,2.231788015422301612e+02,2.366300740994077785e+02
1.545756905077390968e+02,6.456382332819271141e+01,5.560633939833338246e+01,1.163836766730023697e+02,7.729255266399248114e+01,6.955984486898472596e+01,1.246000667033705298e+02,9.504009232157675058e+01,0.000000000000000000e+00,1.247131902994537143e+02
1.862620423793784710e+02,8.405324630161847210e+01,1.003962793694906424e+02,8.316416008699411577e+01,7.868570429201128036e+01,9.217120641448762797e+01,1.335778677726487160e+02,1.286285868709726685e+02,1.334797740783324400e+02,0.000000000000000000e+00
dir,/home/junkado/Desktop/keio/20180325/3ddata/pitcher/hioki/,type,breaking,files number,10,optimal reference,2-2-002_004.csv,
0.000000000000000000e+00,5.112474775604270150e+01,5.326543893573860800e+01,7.925786386596594468e+01,1.027161488216720215e+02,1.401212933012328392e+02,1.184778913937257983e+02,1.109152190652129519e+02,1.577929051110663750e+02,1.644954739517632447e+02
5.933123365635297830e+01,0.000000000000000000e+00,6.550428367696423493e+01,9.962279577486769711e+01,1.117741938815553340e+02,1.541635060389115779e+02,1.219957649627871774e+02,1.142187314071078532e+02,1.806033608004845803e+02,1.894088403604398252e+02
5.066339695396306553e+01,5.620267114734822655e+01,0.000000000000000000e+00,5.925942766935222750e+01,6.749061512740875912e+01,1.135936662192098794e+02,1.066679254076388759e+02,9.913751125412730403e+01,1.351348412361476790e+02,1.496402905575551472e+02
5.522856104329522964e+01,5.429467357077377443e+01,4.377343493488903903e+01,0.000000000000000000e+00,5.955456904410618790e+01,7.369609232804157273e+01,7.780873888766969060e+01,7.742067136446870279e+01,1.035579709252459253e+02,1.106171127594693786e+02
9.617207154148302095e+01,8.605193100892772406e+01,7.561241391871755013e+01,7.877224058608598511e+01,0.000000000000000000e+00,8.483645479503736908e+01,1.004458488056396845e+02,6.713986718173312340e+01,1.268766163074102877e+02,1.444935455411102794e+02
1.966733739059338859e+02,1.843959026555526179e+02,1.969693111962787668e+02,1.953568261830041592e+02,1.858738473343136661e+02,0.000000000000000000e+00,2.321462965846270663e+02,1.929775530596464534e+02,2.511787265035235066e+02,2.469162670277211191e+02
6.926975198640283793e+01,5.252983383643596937e+01,7.231993846246960800e+01,6.764100407654132141e+01,6.420258724649470139e+01,8.410874074724574712e+01,0.000000000000000000e+00,4.081027337916030007e+01,6.376066085680697171e+01,6.222744524024779622e+01
1.003057220131702394e+02,7.945778896158218174e+01,9.940186195216639931e+01,9.520632890099233236e+01,6.445903433158318308e+01,9.494797601746422799e+01,7.263851882808548055e+01,0.000000000000000000e+00,1.153596014268611896e+02,1.322977171614577117e+02
2.196674123199469477e+02,2.114729642997417898e+02,2.241699211890602044e+02,2.136857411525750763e+02,1.976714962564976759e+02,1.683155754954871952e+02,1.963696272505002867e+02,1.787648674424693525e+02,0.000000000000000000e+00,6.503525746656930551e+01
1.382514958574209629e+02,1.267765849506259741e+02,1.496236680214877026e+02,1.307968701269090559e+02,1.332630551175656137e+02,1.067494357689251387e+02,1.130313894465995048e+02,1.174735488173405287e+02,5.217344285352178446e+01,0.000000000000000000e+00
dir,/home/junkado/Desktop/keio/20180325/3ddata/pitcher/sekiya/,type,straight,files number,10,optimal reference,3-1_005.csv,
0.000000000000000000e+00,1.048173818347405586e+02,8.453166255121375627e+01,1.087604100025422582e+02,8.998971737619420708e+01,9.904011867054747142e+01,7.968924021582327555e+01,1.127066327448808778e+02,6.098020356191614866e+01,1.254930761915565824e+02
1.314453133497352155e+02,0.000000000000000000e+00,8.743949217460946954e+01,1.340869721766071905e+02,8.850267489501118234e+01,1.659964924308837055e+02,1.214818420967452397e+02,7.901418123572672414e+01,1.571207455878013945e+02,6.155689847667597547e+01
8.397794727437052131e+01,6.420681860220335579e+01,0.000000000000000000e+00,7.469298634220606914e+01,7.396297928285538603e+01,9.057833009992955908e+01,7.384209454527533012e+01,9.659857669584344819e+01,9.615054573320465181e+01,7.982212508369997295e+01
7.038905349682768531e+01,3.436139119817210741e+01,3.828670060009572040e+01,0.000000000000000000e+00,6.754088785118884175e+01,3.371715223091464253e+01,6.845721583180637992e+01,6.697419366888752279e+01,6.760699333146575896e+01,4.612336251169432444e+01
8.035783870326523015e+01,6.916487888874421230e+01,6.916793692520111847e+01,8.568341372445574677e+01,0.000000000000000000e+00,9.586647932508694225e+01,6.399349747616140860e+01,7.696055288207359979e+01,8.138713268623286012e+01,7.626801130800461692e+01
5.861024365891052668e+01,3.969170007286570012e+01,4.227665987450961183e+01,3.197349605564990682e+01,6.745044827637573803e+01,0.000000000000000000e+00,6.942944200551571043e+01,6.302748491595119162e+01,5.654870378055741043e+01,4.983517865873933061e+01
7.611542908721855838e+01,8.743780677862211803e+01,6.621338898000038853e+01,8.643506736090647280e+01,7.048351720667847076e+01,9.870021615050352182e+01,0.000000000000000000e+00,1.224569723441967710e+02,8.876263021399660147e+01,1.081887044831672000e+02
1.006990749944247767e+02,6.552429442296684670e+01,9.742127470415387336e+01,1.139465773439360703e+02,8.722767645408413273e+01,1.209815914091505249e+02,1.261556549906959503e+02,0.000000000000000000e+00,9.492719543857016617e+01,7.114625574126353058e+01
5.149765824464805064e+01,9.294291349827969384e+01,8.514972622619808362e+01,8.736053380660936796e+01,7.688945445536023726e+01,7.702829500789975725e+01,9.073816380705665097e+01,8.395393508792287207e+01,0.000000000000000000e+00,1.033264787777048497e+02
1.290931506815865646e+02,5.477721465096778530e+01,9.088146809566187301e+01,1.186035100093568673e+02,8.618277136948165662e+01,1.406678217685881407e+02,1.187104453964890212e+02,8.308382777185842372e+01,1.412381444738778953e+02,0.000000000000000000e+00
dir,/home/junkado/Desktop/keio/20180325/3ddata/pitcher/sekiya/,type,breaking,files number,10,optimal reference,3-1_011.csv,
0.000000000000000000e+00,9.867600815744269482e+01,1.172176688612653095e+02,1.106677785496212891e+02,1.879104803394718886e+02,1.391697551178422145e+02,1.918130025320611480e+02,1.142802445928681863e+02,1.603618983487632761e+02,1.401245056153398707e+02
1.197390330618596579e+02,0.000000000000000000e+00,7.950605028569211186e+01,5.186841148316384675e+01,1.500860044543758534e+02,8.833149457150027217e+01,1.073414569158698271e+02,5.877817405730615263e+01,8.736246003092902868e+01,7.790463890687375681e+01
1.297584797174322091e+02,9.237025227777174052e+01,0.000000000000000000e+00,1.033302107607797780e+02,1.311836801164149620e+02,7.775103030677975369e+01,1.105323752057840778e+02,1.135969258533355344e+02,9.308153815725526670e+01,7.797376157628376347e+01
1.342310619111270569e+02,5.524397831457969232e+01,1.036809830890409785e+02,0.000000000000000000e+00,1.954139658835492526e+02,1.113788389035185133e+02,1.497902173904902554e+02,5.535554103114156987e+01,1.327775394009457557e+02,1.103477916566024248e+02
2.040682501776559548e+02,1.671729761090260240e+02,1.677836639100411276e+02,2.197585927224974682e+02,0.000000000000000000e+00,1.037273050972341224e+02,4.802426725211801539e+01,2.167242766854771787e+02,6.997375457046621250e+01,7.425065197997429323e+01
1.854501193683178428e+02,1.130393151412900181e+02,1.001281550216149441e+02,1.237056488065277620e+02,1.442986591243349324e+02,0.000000000000000000e+00,7.900014231385762287e+01,1.051238899304788248e+02,7.114146217642743864e+01,6.005752550136529067e+01
